DiscDate,DiscTime,Code,DiscNo,DocType,CurPerType,CurPerSt,CurPerEn,CurFYSt,CurFYEn,NxtFYSt,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,Div1Q,Div2Q,Div3Q,DivFY,DivAnn,DivUnit,DivTotalAnn,PayoutRatioAnn,FDiv1Q,FDiv2Q,FDiv3Q,FDivFY,FDivAnn,FDivUnit,FDivTotalAnn,FPayoutRatioAnn,NxFDiv1Q,NxFDiv2Q,NxFDiv3Q,NxFDivFY,NxFDivAnn,NxFDivUnit,NxFPayoutRatioAnn,FSales2Q,FOP2Q,FOdP2Q,FNP2Q,FEPS2Q,NxFSales2Q,NxFOP2Q,NxFOdP2Q,NxFNp2Q,NxFEPS2Q,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS,MatChgSub,SigChgInC,ChgByASRev,ChgNoASRev,ChgAcEst,RetroRst,ShOutFY,TrShFY,AvgSh,NCSales,NCOP,NCOdP,NCNP,NCEPS,NCTA,NCEq,NCEqAR,NCBPS,FNCSales2Q,FNCOP2Q,FNCOdP2Q,FNCNP2Q,FNCEPS2Q,NxFNCSales2Q,NxFNCOP2Q,NxFNCOdP2Q,NxFNCNP2Q,NxFNCEPS2Q,FNCSales,FNCOP,FNCOdP,FNCNP,FNCEPS,NxFNCSales,NxFNCOP,NxFNCOdP,NxFNCNP,NxFNCEPS
2024/2/6,13:25:00,72030,2.02401E+13,3QFinancialStatements_Consolidated_IFRS,3Q,2023/4/1,2023/12/31,2023/4/1,2024/3/31,,,3.40227E+13,4.24024E+12,,3.94724E+12,291.87,291.87,8.42322E+13,3.3524E+13,0.387,,2.78614E+12,-4.23013E+12,1.63446E+12,7.58315E+12,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35E+13,4.9E+12,,4.5E+12,332.97,,,,,,FALSE,,FALSE,FALSE,FALSE,,16314987460,2829136593,13524128807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/5/8,13:55:00,72030,2.02404E+13,FYFinancialStatements_Consolidated_IFRS,FY,2023/4/1,2024/3/31,2023/4/1,2024/3/31,2024/4/1,2025/3/31,4.50953E+13,5.35293E+12,,4.94493E+12,365.94,365.94,9.01143E+13,3.52393E+13,0.38,2539.75,4.20637E+12,-4.99875E+12,2.49756E+12,9.41206E+12,,30,,45,75,,1.01175E+12,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6E+13,4.3E+12,,3.57E+12,264.95,FALSE,,FALSE,FALSE,FALSE,,16314987460,2840815433,13512848373,1.75756E+13,3.0945E+12,5.5787E+12,4.39986E+12,325.61,2.8162E+13,2.04401E+13,0.726,1516.98,,,,,,,,,,,,,,,,,,,,
2024/8/1,13:25:00,72030,2.02407E+13,1QFinancialStatements_Consolidated_IFRS,1Q,2024/4/1,2024/6/30,2024/4/1,2025/3/31,,,1.18379E+13,1.30846E+12,,1.33335E+12,98.99,98.99,9.40373E+13,3.67794E+13,0.38,,6.83661E+11,-2.3996E+12,-3.1879E+11,7.59709E+12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6E+13,4.3E+12,,3.57E+12,265.04,,,,,,,FALSE,FALSE,FALSE,FALSE,,15794987460,2325417265,13469159202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024/11/6,13:55:00,72030,2.02411E+13,2QFinancialStatements_Consolidated_IFRS,2Q,2024/4/1,2024/9/30,2024/4/1,2025/3/31,,,2.32825E+13,2.46422E+12,,1.90711E+12,142.15,142.15,8.91693E+13,3.52667E+13,0.385,,1.81718E+12,-3.08575E+12,-2.89752E+11,7.63146E+12,,40,,,,,,,,,,50,90,,,,,,,,,,,,,,,,,,,,,4.6E+13,4.3E+12,,3.57E+12,268.77,,,,,,,FALSE,FALSE,FALSE,FALSE,,15794987460,2645215176,13416064614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/2/5,13:25:00,72030,2.02501E+13,3QFinancialStatements_Consolidated_IFRS,3Q,2024/4/1,2024/12/31,2024/4/1,2025/3/31,,,3.56735E+13,3.67949E+12,,4.10039E+12,307.95,307.95,9.46744E+13,3.68565E+13,0.379,,2.82373E+12,-3.52325E+12,-4.7209E+11,8.28516E+12,,40,,,,,,,,,,50,90,,,,,,,,,,,,,,,,,,,,,4.7E+13,4.7E+12,,4.52E+12,340.87,,,,,,,FALSE,FALSE,FALSE,FALSE,,15794987460,2699079277,13314911412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/5/8,13:55:00,72030,2.02504E+13,FYFinancialStatements_Consolidated_IFRS,FY,2024/4/1,2025/3/31,2024/4/1,2025/3/31,2025/4/1,2026/3/31,4.80367E+13,4.79559E+12,,4.76509E+12,359.56,359.56,9.36014E+13,3.68789E+13,0.384,2753.09,3.69693E+12,-4.18974E+12,1.97236E+11,8.9824E+12,,40,,50,90,,1.17844E+12,0.25,,,,,,,,,,45,,50,95,,0.399,,,,,,,,,,,,,,,,4.85E+13,3.8E+12,,3.1E+12,237.57,,TRUE,FALSE,FALSE,FALSE,,15794987460,2746057686,13252455897,1.82777E+13,2.96686E+12,4.53804E+12,3.84521E+12,290.15,2.90467E+13,2.15048E+13,0.74,1648.01,,,,,,,,,,,,,,,,,,,,
2025/8/7,14:00:00,72030,2.02507E+13,1QFinancialStatements_Consolidated_IFRS,1Q,2025/4/1,2025/6/30,2025/4/1,2026/3/31,,,1.22533E+13,1.16614E+12,,8.41345E+11,64.56,64.56,9.34681E+13,3.69931E+13,0.386,,1.87648E+12,-1.802E+12,-8.03284E+11,8.21086E+12,,,,,,,,,,45,,50,95,,,,,,,,,,,,,,,,,,,,,4.85E+13,3.2E+12,,2.66E+12,204.09,,,,,,,FALSE,FALSE,FALSE,FALSE,,15794987460,2761596216,13032932250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025/11/5,14:25:00,72030,2.0251E+13,2QFinancialStatements_Consolidated_IFRS,2Q,2025/4/1,2025/9/30,2025/4/1,2026/3/31,,,2.46308E+13,2.00569E+12,,1.77343E+12,136.07,136.07,9.75749E+13,3.8457E+13,0.384,,2.94461E+12,-3.51753E+12,-3.62065E+11,8.11292E+12,,45,,,,,,,,,,50,95,,,,,,,,,,,,,,,,,,,,,4.9E+13,3.4E+12,,2.93E+12,224.81,,,,,,,FALSE,FALSE,FALSE,FALSE,,15794987460,2761598241,13033161110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
