DiscDate,DiscTime,Code,DiscNo,DocType,CurPerType,CurPerSt,CurPerEn,CurFYSt,CurFYEn,NxtFYSt,NxtFYEn,Sales,OP,OdP,NP,EPS,DEPS,TA,Eq,EqAR,BPS,CFO,CFI,CFF,CashEq,Div1Q,Div2Q,Div3Q,DivFY,DivAnn,DivUnit,DivTotalAnn,PayoutRatioAnn,FDiv1Q,FDiv2Q,FDiv3Q,FDivFY,FDivAnn,FDivUnit,FDivTotalAnn,FPayoutRatioAnn,NxFDiv1Q,NxFDiv2Q,NxFDiv3Q,NxFDivFY,NxFDivAnn,NxFDivUnit,NxFPayoutRatioAnn,FSales2Q,FOP2Q,FOdP2Q,FNP2Q,FEPS2Q,NxFSales2Q,NxFOP2Q,NxFOdP2Q,NxFNp2Q,NxFEPS2Q,FSales,FOP,FOdP,FNP,FEPS,NxFSales,NxFOP,NxFOdP,NxFNp,NxFEPS,MatChgSub,SigChgInC,ChgByASRev,ChgNoASRev,ChgAcEst,RetroRst,ShOutFY,TrShFY,AvgSh,NCSales,NCOP,NCOdP,NCNP,NCEPS,NCTA,NCEq,NCEqAR,NCBPS,FNCSales2Q,FNCOP2Q,FNCOdP2Q,FNCNP2Q,FNCEPS2Q,NxFNCSales2Q,NxFNCOP2Q,NxFNCOdP2Q,NxFNCNP2Q,NxFNCEPS2Q,FNCSales,FNCOP,FNCOdP,FNCNP,FNCEPS,NxFNCSales,NxFNCOP,NxFNCOdP,NxFNCNP,NxFNCEPS
2024-02-06,13:25:00,72030,20240130521611,3QFinancialStatements_Consolidated_IFRS,3Q,2023-04-01,2023-12-31,2023-04-01,2024-03-31,,,34022720000000,4240238000000,,3947242000000,291.87,291.87,84232154000000,33523966000000,0.387,,2786141000000,-4230129000000,1634461000000,7583154000000,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43500000000000,4900000000000,,4500000000000,332.97,,,,,,false,,false,false,false,,16314987460,2829136593,13524128807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05-08,13:55:00,72030,20240424575411,FYFinancialStatements_Consolidated_IFRS,FY,2023-04-01,2024-03-31,2023-04-01,2024-03-31,2024-04-01,2025-03-31,45095325000000,5352934000000,,4944933000000,365.94,365.94,90114296000000,35239338000000,0.38,2539.75,4206373000000,-4998751000000,2497558000000,9412060000000,,30.0,,45.0,75.0,,1011753000000,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000000000,4300000000000,,3570000000000,264.95,false,,false,false,false,,16314987460,2840815433,13512848373,17575593000000,3094495000000,5578695000000,4399855000000,325.61,28161955000000,20440081000000,0.726,1516.98,,,,,,,,,,,,,,,,,,,,
2024-08-01,13:25:00,72030,20240724553908,1QFinancialStatements_Consolidated_IFRS,1Q,2024-04-01,2024-06-30,2024-04-01,2025-03-31,,,11837879000000,1308462000000,,1333347000000,98.99,98.99,94037319000000,36779372000000,0.38,,683661000000,-2399603000000,-318790000000,7597094000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46000000000000,4300000000000,,3570000000000,265.04,,,,,,,false,false,false,false,,15794987460,2325417265,13469159202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-06,13:55:00,72030,20241101509817,2QFinancialStatements_Consolidated_IFRS,2Q,2024-04-01,2024-09-30,2024-04-01,2025-03-31,,,23282450000000,2464217000000,,1907113000000,142.15,142.15,89169296000000,35266663000000,0.385,,1817177000000,-3085752000000,-289752000000,7631457000000,,40.0,,,,,,,,,,50.0,90.0,,,,,,,,,,,,,,,,,,,,,46000000000000,4300000000000,,3570000000000,268.77,,,,,,,false,false,false,false,,15794987460,2645215176,13416064614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02-05,13:25:00,72030,20250131559581,3QFinancialStatements_Consolidated_IFRS,3Q,2024-04-01,2024-12-31,2024-04-01,2025-03-31,,,35673545000000,3679491000000,,4100389000000,307.95,307.95,94674416000000,36856527000000,0.379,,2823725000000,-3523253000000,-472090000000,8285156000000,,40.0,,,,,,,,,,50.0,90.0,,,,,,,,,,,,,,,,,,,,,47000000000000,4700000000000,,4520000000000,340.87,,,,,,,false,false,false,false,,15794987460,2699079277,13314911412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-08,13:55:00,72030,20250425524402,FYFinancialStatements_Consolidated_IFRS,FY,2024-04-01,2025-03-31,2024-04-01,2025-03-31,2025-04-01,2026-03-31,48036704000000,4795586000000,,4765086000000,359.56,359.56,93601350000000,36878913000000,0.384,2753.09,3696934000000,-4189736000000,197236000000,8982404000000,,40.0,,50.0,90.0,,1178437000000,0.25,,,,,,,,,,45.0,,50.0,95.0,,0.399,,,,,,,,,,,,,,,,48500000000000,3800000000000,,3100000000000,237.57,,true,false,false,false,,15794987460,2746057686,13252455897,18277671000000,2966857000000,4538037000000,3845213000000,290.15,29046699000000,21504804000000,0.74,1648.01,,,,,,,,,,,,,,,,,,,,
2025-08-07,14:00:00,72030,20250729522887,1QFinancialStatements_Consolidated_IFRS,1Q,2025-04-01,2025-06-30,2025-04-01,2026-03-31,,,12253326000000,1166141000000,,841345000000,64.56,64.56,93468143000000,36993052000000,0.386,,1876481000000,-1802002000000,-803284000000,8210856000000,,,,,,,,,,45.0,,50.0,95.0,,,,,,,,,,,,,,,,,,,,,48500000000000,3200000000000,,2660000000000,204.09,,,,,,,false,false,false,false,,15794987460,2761596216,13032932250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-05,14:25:00,72030,20251029581373,2QFinancialStatements_Consolidated_IFRS,2Q,2025-04-01,2025-09-30,2025-04-01,2026-03-31,,,24630753000000,2005692000000,,1773426000000,136.07,136.07,97574878000000,38456954000000,0.384,,2944609000000,-3517528000000,-362065000000,8112922000000,,45.0,,,,,,,,,,50.0,95.0,,,,,,,,,,,,,,,,,,,,,49000000000000,3400000000000,,2930000000000,224.81,,,,,,,false,false,false,false,,15794987460,2761598241,13033161110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
