Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-05-06,390.54485137178625,403.97332763671875,386.06869261680873,403.97332763671875,15575000,0.0,0.0
1999-05-07,401.73518538200994,402.85422489560887,386.06863219162517,389.4257507324219,15165000,0.0,0.0
1999-05-10,389.42571054068355,393.9018681331052,386.0685923463673,388.3066711425781,6305000,0.0,0.0
1999-05-11,391.6638840076535,393.9019633448401,384.94964599609375,384.94964599609375,8430000,0.0,0.0
1999-05-12,384.94973144531247,391.66397094726557,384.94973144531247,391.6639709472656,12980000,0.0,0.0
1999-05-13,387.18773718047555,387.18773718047555,379.3544592606394,382.7115783691406,7165000,0.0,0.0
1999-05-14,383.830549070821,383.830549070821,377.1163120608358,378.2353515625,11475000,0.0,0.0
1999-05-17,372.64018082037205,373.7592204024152,365.9259433281131,367.04498291015625,10900000,0.0,0.0
1999-05-18,369.28310428045495,381.59254108980343,365.9259851506326,379.3544616699219,13680000,0.0,0.0
1999-05-19,368.16396277794473,370.4020415790265,352.49741117037263,363.68780517578125,19680000,0.0,0.0
1999-05-20,368.16406011006916,375.9973379847515,365.9259807173028,371.52117919921875,9375000,0.0,0.0
1999-05-21,374.8782156179617,377.1162945171734,367.0449394707207,372.64013671875,11610000,0.0,0.0
1999-05-24,372.64013671875,372.64013671875,360.33070277308553,372.64013671875,9865000,0.0,0.0
1999-05-25,367.044956545858,378.2353515625,367.044956545858,378.2353515625,13750000,0.0,0.0
1999-05-26,373.75925859198514,377.1163776811347,369.28309980645236,371.52117919921875,7105000,0.0,0.0
1999-05-27,373.75925859198514,373.75925859198514,365.9259807173028,371.52117919921875,6125000,0.0,0.0
1999-05-28,368.1640718402285,369.2831115722656,362.5688731800426,369.2831115722656,7785000,0.0,0.0
1999-05-31,370.402146850208,373.75926600595005,361.4498291015625,361.4498291015625,9535000,0.0,0.0
1999-06-01,364.80695932354047,373.75927734375006,362.568879818488,373.75927734375,13955000,0.0,0.0
1999-06-02,379.35444765312724,388.3067650018736,378.23540798453394,384.94964599609375,19695000,0.0,0.0
1999-06-03,391.6638840076535,391.6638840076535,384.94964599609375,384.94964599609375,11030000,0.0,0.0
1999-06-04,388.30672461506924,388.30672461506924,374.8782499886115,383.83056640625,6430000,0.0,0.0
1999-06-07,383.8306915283203,393.90205078124995,380.4735717773437,391.6639709472656,11505000,0.0,0.0
1999-06-08,395.02095227800936,400.6161499023438,392.7828732282756,400.61614990234375,10975000,0.0,0.0
1999-06-09,397.2590313277431,405.0923080018113,396.13999180287624,400.61614990234375,16620000,0.0,0.0
1999-06-10,400.6161969818031,408.4494745764194,399.4971573254293,406.2113952636719,12990000,0.0,0.0
1999-06-11,409.5685914081076,418.5209103459897,406.2114718064018,411.8066711425781,45585000,0.0,0.0
1999-06-14,408.4494114443253,415.16364834478,407.3303719609162,409.5684509277344,8815000,0.0,0.0
1999-06-15,411.80638535732237,418.52061990119176,410.6873462666775,417.4015808105469,12685000,0.0,0.0
1999-06-16,419.6399749919055,422.99709479184077,416.28285519197027,418.52093505859375,13085000,0.0,0.0
1999-06-17,421.8778507683866,421.8778507683866,416.2826538085937,416.28265380859375,8150000,0.0,0.0
1999-06-18,415.1637125146619,416.2827521710356,406.2113952636719,406.2113952636719,10410000,0.0,0.0
1999-06-21,410.68749041114353,411.8065298945526,406.2113324775071,409.5684509277344,6105000,0.0,0.0
1999-06-22,414.04446353861215,417.4015808105468,410.6873462666775,417.4015808105469,12030000,0.0,0.0
1999-06-23,416.2827783600102,421.8779769938813,412.9256591796875,412.9256591796875,14445000,0.0,0.0
1999-06-24,415.16365262295335,422.9969290875374,414.04461312801277,420.75885009765625,12565000,0.0,0.0
1999-06-25,420.7589016927084,422.99698095703127,418.52082242838543,419.6398620605469,12835000,0.0,0.0
1999-06-28,420.7587780826306,422.99685668945307,419.63973877921933,422.9968566894531,6115000,0.0,0.0
1999-06-29,425.2351989746094,429.71135896381577,424.1161589773078,425.2351989746094,23520000,0.0,0.0
1999-06-30,429.7112026762402,436.42544021805645,428.5921630859375,428.5921630859375,34360000,0.0,0.0
1999-07-01,434.1873040041547,443.1396195506321,434.1873040041547,439.7825012207031,32800000,0.0,0.0
1999-07-02,444.2586557488692,448.734813489412,439.78249800832646,446.4967346191406,19705000,0.0,0.0
1999-07-05,445.37771964559744,445.37771964559744,438.66348266601557,438.6634826660156,8690000,0.0,0.0
1999-07-06,438.66361678685894,439.7826566256009,434.187457431891,436.425537109375,8150000,0.0,0.0
1999-07-07,440.90154066401277,444.2586589939418,437.5444223340837,439.7825012207031,14735000,0.0,0.0
1999-07-08,440.90154066401277,443.1396195506321,437.5444223340837,439.7825012207031,12305000,0.0,0.0
1999-07-09,438.6634696749055,446.49674591910025,436.4253907479927,444.2586669921875,16765000,0.0,0.0
1999-07-12,445.3777047729492,450.9729020690918,444.25866531372066,447.61578369140625,17610000,0.0,0.0
1999-07-13,452.09194323638224,455.44906162675136,444.25866699218744,444.2586669921875,28090000,0.0,0.0
1999-07-14,446.496833214393,452.09203162560095,445.37779353215143,450.9729919433594,13330000,0.0,0.0
1999-07-15,450.9729919433593,450.9729919433593,445.37779353215143,450.9729919433594,10285000,0.0,0.0
1999-07-16,452.09203162560095,454.3301109900841,449.85395226111774,450.9729919433594,13450000,0.0,0.0
1999-07-19,450.97287954198254,453.2109583486425,447.6157613319926,452.0919189453125,10030000,0.0,0.0
1999-07-20,452.09191894531256,452.09191894531256,452.09191894531256,452.0919189453125,0,0.0,0.0
1999-07-21,443.13961631373354,447.6157740542763,440.90153744346213,446.4967346191406,12765000,0.0,0.0
1999-07-22,442.0206242984103,443.1396638535962,434.1873474121094,434.1873474121094,13590000,0.0,0.0
1999-07-23,428.5923189665142,433.0684789557206,422.9971189800062,425.2351989746094,15595000,0.0,0.0
1999-07-26,425.2349352962756,429.7110925099206,422.99685668945307,422.9968566894531,10090000,0.0,0.0
1999-07-27,431.9492171809728,440.9015325629619,430.8301777582242,435.30633544921875,27345000,0.0,0.0
1999-07-28,437.5444431694186,442.0206011558065,434.1873246796277,438.6634826660156,15400000,0.0,0.0
1999-07-29,442.0205880652747,449.85386430946943,442.0205880652747,444.2586669921875,19430000,0.0,0.0
1999-07-30,443.1396037186727,452.09191894531256,442.0205643153427,452.0919189453125,18135000,0.0,0.0
1999-08-02,447.6157968255538,448.73483631761763,442.0205993652344,442.0205993652344,12370000,0.0,0.0
1999-08-03,442.0207002427843,443.1397399902344,436.4255015055339,443.1397399902344,7680000,0.0,0.0
1999-08-04,438.66365353347084,445.3778931283709,437.5446136009875,440.9017333984375,7645000,0.0,0.0
1999-08-05,436.42537487196734,437.544414294716,429.71113833547554,435.30633544921875,11365000,0.0,0.0
1999-08-06,430.83019226554813,433.06827118640814,422.99691604253815,426.3540344238281,13410000,0.0,0.0
1999-08-09,420.7587379030587,426.3539338858121,418.52065950995734,421.8777770996094,12740000,0.0,0.0
1999-08-10,417.4016932005523,418.5207325925109,412.925535632718,416.28265380859375,12110000,0.0,0.0
1999-08-11,416.2826650258657,418.52074387009077,412.92554675952806,414.0445861816406,9285000,0.0,0.0
1999-08-12,419.6399749919055,422.99709479184077,416.28285519197027,418.52093505859375,8755000,0.0,0.0
1999-08-13,415.16381525865853,421.87805485852897,414.04477532534673,418.52093505859375,11785000,0.0,0.0
1999-08-16,424.11614990234375,427.47326982241503,420.7590299822724,424.11614990234375,13485000,0.0,0.0
1999-08-17,424.11589599286435,426.35397459968686,420.7587780826306,422.9968566894531,10330000,0.0,0.0
1999-08-18,425.2349352962756,426.35397459968686,421.87781738604184,422.9968566894531,10705000,0.0,0.0
1999-08-19,421.87781738604184,422.99685668945307,416.2826208689856,422.9968566894531,11040000,0.0,0.0
1999-08-20,419.63995688872814,427.4732360839844,417.4018771186549,427.4732360839844,9360000,0.0,0.0
1999-08-23,428.59213407747035,435.30637116484587,405.0923042716561,407.33038330078125,14300000,0.0,0.0
1999-08-24,412.9255905360391,415.1636696175353,408.4494323730468,408.4494323730469,13200000,0.0,0.0
1999-08-25,408.4495078192817,408.4495078192817,398.3781500922309,402.85430908203125,11970000,0.0,0.0
1999-08-26,402.85426850952854,402.85426850952854,387.1877136230469,387.1877136230469,25135000,0.0,0.0
1999-08-27,398.3782073715253,409.5686064549952,395.0210876464844,395.0210876464844,21930000,0.0,0.0
1999-08-30,400.616189855719,402.85426912865603,398.378110582782,401.7352294921875,13060000,0.0,0.0
1999-08-31,397.25910009614455,400.6162192518866,361.4498291015625,361.4498291015625,26045000,0.0,0.0
1999-09-01,386.0685119628906,388.3065902931103,380.4733161373415,386.0685119628906,25050000,0.0,0.0
1999-09-02,395.02090753121064,400.61610452173767,388.3066711425781,388.3066711425781,15950000,0.0,0.0
1999-09-03,386.0686739882982,390.54483252729295,381.59251544930345,387.1877136230469,8390000,0.0,0.0
1999-09-06,392.7828750825264,399.4971122634243,392.7828750825264,397.259033203125,8120000,0.0,0.0
1999-09-07,398.37804838570446,405.09228515625,390.54477215340125,405.09228515625,11280000,0.0,0.0
1999-09-08,402.854170365767,402.854170365767,390.54473738236857,393.90185546875,8710000,0.0,0.0
1999-09-09,402.8541833179485,402.8541833179485,388.3066711425781,388.3066711425781,6215000,0.0,0.0
1999-09-10,382.71155952004824,384.9496388154871,373.7592423382927,380.4734802246094,30275000,0.0,0.0
1999-09-13,386.06877136230463,391.66397094726557,386.06877136230463,391.6639709472656,9605000,0.0,0.0
1999-09-14,397.25917979183356,397.25917979183356,383.8307004749265,392.78302001953125,11800000,0.0,0.0
1999-09-15,392.7830200195312,392.7830200195312,392.7830200195312,392.78302001953125,0,0.0,0.0
1999-09-16,387.1876774317782,397.259033203125,382.7115193111796,397.259033203125,10560000,0.0,0.0
1999-09-17,397.2591103447808,402.85430908203125,389.4258321126302,402.85430908203125,13145000,0.0,0.0
1999-09-20,408.4494323730468,408.4494323730468,401.7351951285584,408.4494323730469,11815000,0.0,0.0
1999-09-21,407.3303928322988,408.4494323730468,403.97327421005457,408.4494323730469,10505000,0.0,0.0
1999-09-22,393.90197539747805,397.25909450597925,382.71157836914057,382.7115783691406,10515000,0.0,0.0
1999-09-23,382.71157836914057,382.71157836914057,382.71157836914057,382.7115783691406,0,0.0,0.0
1999-09-24,377.1163176098855,379.354396646146,361.4497643560624,368.16400146484375,13730000,0.0,0.0
1999-09-27,379.50427376351706,383.9954486009551,368.2763366699219,368.2763366699219,5645000,2.2,0.0
1999-09-28,379.5041821289062,379.5041821289062,364.9078674316406,364.9078674316406,11550000,0.0,0.0
1999-09-29,370.5218413100779,373.89022168562406,366.03066747601633,369.3990478515625,20050000,0.0,0.0
1999-09-30,370.5219316060564,395.2233937131268,370.5219316060564,380.6270751953125,26285000,0.0,0.0
1999-10-01,386.2409731108567,392.977734269767,383.9953860578866,390.7321472167969,13635000,0.0,0.0
1999-10-04,388.4865018540535,391.8548819279325,383.9953284222147,387.36370849609375,9170000,0.0,0.0
1999-10-05,390.7321868284384,395.2233613896848,389.6093931881268,391.85498046875,7735000,0.0,0.0
1999-10-06,394.1005523164394,404.20569468352755,388.4865843347237,397.46893310546875,10160000,0.0,0.0
1999-10-07,403.08290400201264,405.3284912109375,397.46893597970046,405.3284912109375,23695000,0.0,0.0
1999-10-08,405.3284459348585,414.31079376720993,396.3460981025071,410.9424133300781,20135000,0.0,0.0
1999-10-11,410.9424133300781,410.9424133300781,410.9424133300781,410.9424133300781,0,0.0,0.0
1999-10-12,405.32860377152315,405.32860377152315,396.34625244140625,396.34625244140625,14360000,0.0,0.0
1999-10-13,390.73214372651665,392.9777307594277,382.8725891113281,382.8725891113281,14000000,0.0,0.0
1999-10-14,387.3638395629177,394.1006019900989,381.74987087360006,388.48663330078125,10765000,0.0,0.0
1999-10-15,392.97764951532537,395.2232360839844,389.6092696623368,395.2232360839844,11705000,0.0,0.0
1999-10-18,383.9953284222147,390.7320885699728,382.872535064255,387.36370849609375,10220000,0.0,0.0
