accounting_standard,credit_rating,credit_score,edinet_code,industry,name,sec_code
JP,A,78,E31625,小売業,株式会社富士山マガジンサービス,31380
USGAAP,S,90,E01532,機械,株式会社小松製作所,63010
JP,A,73,E03723,証券、商品先物取引業,株式会社小林洋行,87420
JP,S,88,E01667,機械,株式会社小森コーポレーション,63490
JP,S,93,E01692,機械,株式会社小田原エンジニアリング,61490
JP,C,48,E22554,輸送用機器,株式会社小田原機器,73140
JP,S,85,E02140,電気機器,株式会社小糸製作所,72760
JP,S,80,E02306,電気機器,株式会社小野測器,68580
JP,C,50,E03622,銀行業,株式会社山口フィナンシャルグループ,84180
JP,A,70,E02560,卸売業,株式会社山善,80510
JP,D,35,E03549,銀行業,株式会社山形銀行,83440
JP,A,78,E40748,不動産業,株式会社山忠,391A0
JP,S,93,E02121,金属製品,株式会社山王,34410
JP,S,80,E05275,サービス業,株式会社山田債権回収管理総合事務所,43510
JP,C,50,E03583,銀行業,株式会社山陰合同銀行,83810
JP,S,93,E32682,建設業,株式会社岐阜造園,14380
JP,C,45,E03756,証券、商品先物取引業,株式会社岡三証券グループ,86090
JP,B,68,E00687,パルプ・紙,株式会社岡山製紙,38920
JP,B,68,E01493,機械,株式会社岡本工作機械製作所,61250
JP,D,25,E03543,銀行業,株式会社岩手銀行,83450
JP,C,50,E03679,銀行業,株式会社島根銀行,71500
JP,C,45,E01531,機械,株式会社島精機製作所,62220
JP,A,75,E00650,パルプ・紙,株式会社巴川コーポレーション,38780
JP,B,65,E04958,サービス業,株式会社市進ホールディングス,46450
JP,A,75,E04539,サービス業,株式会社帝国ホテル,97080
JP,S,100,E01761,機械,株式会社帝国電機製作所,63330
JP,A,70,E02403,機械,株式会社平和,64120
JP,S,80,E31602,精密機器,株式会社平山ホールディングス,77810
JP,S,90,E00734,その他製品,株式会社平賀,78630
JP,S,88,E33491,その他製品,株式会社幸和製作所,78070
JP,B,65,E03293,小売業,株式会社幸楽苑,75540
JP,A,75,E00724,その他製品,株式会社広済堂ホールディングス,78680
JP,S,88,E04903,サービス業,株式会社建設技術研究所,96210
JP,S,83,E02569,建設業,株式会社弘電社,19480
JP,C,50,E04609,サービス業,株式会社御園座,96640
JP,S,95,E05340,情報・通信業,株式会社情報企画,37120
JP,S,93,E39405,情報・通信業,株式会社情報戦略テクノロジー,155A0
JP,S,83,E21514,サービス業,株式会社成学社,21790
JP,S,93,E01747,電気機器,株式会社戸上電機製作所,66430
JP,S,83,E01690,機械,株式会社技研製作所,62890
JP,A,73,E40269,サービス業,株式会社技術承継機構,319A0
JP,S,83,E01899,電気機器,株式会社指月電機製作所,69940
JP,B,65,E38849,サービス業,株式会社揚羽,93300
JP,D,30,E03221,小売業,株式会社文教堂グループホールディングス,99780
JP,S,88,E00709,情報・通信業,株式会社文溪堂,94710
JP,A,78,E05385,サービス業,株式会社新日本科学,23950
JP,C,50,E33110,サービス業,株式会社旅工房,65480
JP,S,88,E02745,卸売業,株式会社日伝,99020
JP,S,93,E32951,サービス業,株式会社日宣,65430
JP,C,58,E30126,建設業,株式会社日本アクア,14290
JP,C,55,E03992,不動産業,株式会社日本エスコン,88920
JP,S,85,E38373,情報・通信業,株式会社日本オーエー研究所,52410
JP,S,88,E05381,サービス業,株式会社日本ケアサプライ,23930
JP,S,93,E02333,電気機器,株式会社日本トリム,67880
JP,A,78,E00197,建設業,株式会社日本ハウスホールディングス,18730
JP,C,45,E00899,化学,株式会社日本ピグメントホールディングス,41190
JP,S,95,E02030,電気機器,株式会社日本マイクロニクス,68710
JP,A,70,E02489,情報・通信業,株式会社日本一ソフトウェア,38510
JP,B,68,E30930,その他製品,株式会社日本創発グループ,78140
JP,S,83,E31381,サービス業,株式会社日本動物高度医療センター,60390
IFRS,B,65,E03814,その他金融業,株式会社日本取引所グループ,86970
JP,C,40,E01906,電気機器,株式会社日本抵抗器製作所,69770
JP,B,60,E01040,化学,株式会社日本色材工業研究所,49200
JP,C,58,E01232,機械,株式会社日本製鋼所,56310
IFRS,S,85,E00811,化学,株式会社日本触媒,41140
JP,S,95,E05629,サービス業,株式会社日本Ｍ＆Ａセンターホールディングス,21270
JP,S,83,E40019,サービス業,株式会社日水コン,261A0
JP,S,88,E00346,食料品,株式会社日清製粉グループ本社,20020
JP,B,60,E03984,不動産業,株式会社日神グループホールディングス,88810
IFRS,A,75,E01737,電気機器,株式会社日立製作所,65010
JP,S,83,E01643,機械,株式会社日阪製作所,62470
JP,S,93,E05028,サービス業,株式会社早稲田アカデミー,47180
JP,S,100,E39165,サービス業,株式会社早稲田学習研究会,58690
JP,S,88,E04981,サービス業,株式会社明光ネットワークジャパン,46680
JP,A,78,E04024,不動産業,株式会社明豊エンタープライズ,89270
JP,S,83,E01744,電気機器,株式会社明電舎,65080
